Trip ID,Start Station,Start Time,End Station,End Time,Duration
364268,Lucas St & Town St,4/6/19 18:43,Summit St & 17th Ave,4/6/19 19:06,23m 23s
364699,Front St & Beck St,4/8/19 16:39,Lucas St & Town St,4/8/19 16:45,5m 56s
364710,Lucas St & Town St,4/8/19 17:32,Neil Ave & Nationwide Blvd,4/8/19 17:40,8m 23s
364781,Neil Ave & Nationwide Blvd,4/8/19 21:09,Lucas St & Town St,4/8/19 21:17,7m 33s
364827,Lucas St & Town St,4/9/19 7:54,Front St & Beck St,4/9/19 8:01,6m 34s
364895,Front St & Beck St,4/9/19 16:21,Lucas St & Town St,4/9/19 16:28,6m 30s
364910,Lucas St & Town St,4/9/19 17:02,Neil Ave & Nationwide Blvd,4/9/19 17:12,10m 11s
364979,Neil Ave & Nationwide Blvd,4/9/19 21:10,Lucas St & Town St,4/9/19 21:17,7m 40s
365006,Lucas St & Town St,4/10/19 8:04,Front St & Beck St,4/10/19 8:10,5m 50s
365092,Front St & Beck St,4/10/19 16:44,Lucas St & Town St,4/10/19 16:51,6m 27s
365155,Lucas St & Town St,4/11/19 7:51,Front St & Beck St,4/11/19 7:58,6m 25s
367004,Lucas St & Town St,4/22/19 7:53,Front St & Beck St,4/22/19 7:59,5m 35s
367144,Front St & Beck St,4/22/19 16:42,Lucas St & Town St,4/22/19 16:47,5m 46s
367334,Lucas St & Town St,4/23/19 7:54,Front St & Beck St,4/23/19 8:00,6m 31s
367426,Front St & Beck St,4/23/19 16:45,Lucas St & Town St,4/23/19 16:52,6m 17s
367608,Lucas St & Town St,4/24/19 7:50,Front St & Beck St,4/24/19 7:56,6m 2s
367736,Front St & Beck St,4/24/19 16:41,Lucas St & Town St,4/24/19 16:47,5m 59s
367776,Lucas St & Town St,4/24/19 18:41,Summit St & 17th Ave,4/24/19 19:03,21m 24s
361137,Summit St & 17th Ave,3/2/19 19:16,High St & Warren,3/2/19 19:27,10m 59s
361139,High St & Warren,3/2/19 19:27,High St & Warren,3/2/19 19:28,0m 26s
361140,High St & Warren,3/2/19 19:28,Lucas St & Town St,3/2/19 19:43,15m 31s
360677,Front St & Beck St,2/22/19 17:02,Lucas St & Town St,2/22/19 17:07,5m 13s
360763,Lucas St & Town St,2/25/19 7:52,Front St & Beck St,2/25/19 7:58,5m 39s
357284,Front St & Beck St,1/2/19 16:35,Lucas St & Town St,1/2/19 16:41,6m 10s
357327,Lucas St & Town St,1/3/19 7:48,Front St & Beck St,1/3/19 7:55,6m 25s
357372,Front St & Beck St,1/3/19 16:38,Lucas St & Town St,1/3/19 16:44,5m 29s
357400,Lucas St & Town St,1/3/19 18:14,High St & Warren,1/3/19 18:29,15m 46s
357420,Lucas St & Town St,1/4/19 7:57,Front St & Beck St,1/4/19 8:03,5m 56s
357791,Front St & Beck St,1/8/19 16:26,Lucas St & Town St,1/8/19 16:33,6m 17s
357830,Lucas St & Town St,1/9/19 7:52,Front St & Beck St,1/9/19 7:58,5m 56s
357878,Front St & Beck St,1/9/19 16:30,Lucas St & Town St,1/9/19 16:36,6m 8s
357898,Lucas St & Town St,1/10/19 7:58,Front St & Beck St,1/10/19 8:04,6m 21s
358399,Lucas St & Town St,1/17/19 18:09,Michigan Ave & 3rd Ave,1/17/19 18:29,19m 33s
354964,Front St & Beck St,12/3/18 16:24,Lucas St & Town St,12/3/18 16:29,5m 27s
354990,Lucas St & Town St,12/4/18 7:33,Front St & Beck St,12/4/18 7:39,5m 27s
355055,Front St & Beck St,12/4/18 16:22,Lucas St & Town St,12/4/18 16:27,5m 22s
355095,Lucas St & Town St,12/5/18 7:31,Front St & Beck St,12/5/18 7:36,5m 23s
354563,Lucas St & Town St,11/29/18 7:33,Front St & Beck St,11/29/18 7:39,6m 35s
354572,Front St & Beck St,11/29/18 11:49,Lucas St & Town St,11/29/18 11:55,5m 6s
354583,Lucas St & Town St,11/29/18 12:20,Front St & Beck St,11/29/18 12:26,5m 28s
354596,Front St & Beck St,11/29/18 16:22,Lucas St & Town St,11/29/18 16:28,6m 4s
354624,Lucas St & Town St,11/30/18 7:28,Front St & Beck St,11/30/18 7:33,5m 25s
354640,Front St & Beck St,11/30/18 11:49,Lucas St & Town St,11/30/18 11:54,5m 23s
354660,Front St & Beck St,11/30/18 16:09,Lucas St & Town St,11/30/18 16:15,6m 17s
